record_id,source,issue_type,decision,reason,original_value,corrected_value
stations#CIKA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#CIKA,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#XX-CPHO,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'XX-CPHO' is a Datameet placeholder; real station identity unknown,XX-CPHO,
stations#XX-CPHO,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#XX-CPHO,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#XX-CPHO,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#XX-CPHO,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#SIOB,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#SIOB,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#SIOB,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#LLHW,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#LLHW,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#LLHW,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#LLHW,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#PVD,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#PVD,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#PVD,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#YLM,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#YLM,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#YLM,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#CHPT,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#CHPT,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#CHPT,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#JLD,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#JLD,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#JLD,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BRJN,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BRJN,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BRJN,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#CLJ,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#CLJ,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#CLJ,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#KTHL,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#KTHL,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#KTHL,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#MND,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#MND,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#MND,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#PGW,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#PGW,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#PGW,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#YY-BINP,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'YY-BINP' is a Datameet placeholder; real station identity unknown,YY-BINP,
stations#YY-BINP,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#YY-BINP,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#YY-BINP,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#YY-BINP,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#XX-JSGB,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'XX-JSGB' is a Datameet placeholder; real station identity unknown,XX-JSGB,
stations#XX-JSGB,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#XX-JSGB,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#XX-JSGB,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#XX-JSGB,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#JSG,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#JSG,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#JSG,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#KYW,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#KYW,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#KYW,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#MHRN,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#MHRN,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#MHRN,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#TKVR,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#TKVR,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#TKVR,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#DPI,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#DPI,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#DPI,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#SREE,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#SREE,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#SREE,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#SREE,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#NEA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#NEA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#NEA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#GRL,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#GRL,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#GRL,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#DKJC,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#DKJC,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#DKJC,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#DKJC,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#KHI,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#KHI,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#KHI,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#VNJ,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#VNJ,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#VNJ,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#CBF,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#CBF,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#CBF,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#UMB,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#UMB,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#UMB,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#SRO,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#SRO,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#SRO,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#SJT,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#SJT,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#SJT,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BDNP,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BDNP,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BDNP,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#HTZ,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#HTZ,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#HTZ,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#TSKG,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#TSKG,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#TSKG,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#TSKG,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#RDE,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#RDE,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#RDE,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#MGS,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#MGS,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#MGS,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BKNA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BKNA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BKNA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#HBD,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#HBD,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#HBD,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#ANA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#ANA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#ANA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BNI,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BNI,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BNI,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#YY-IDHW,stations,PLACEHOLDER_CODE,INVESTIGATE,Code 'YY-IDHW' is a Datameet placeholder; real station identity unknown,YY-IDHW,
stations#YY-IDHW,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#YY-IDHW,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#YY-IDHW,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#YY-IDHW,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#DVL,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#DVL,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#DVL,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#JRTR,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#JRTR,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#JRTR,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#NDR,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#NDR,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#NDR,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#MYG,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#MYG,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#MYG,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BHKH,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BHKH,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BHKH,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#LKD,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#LKD,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#LKD,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BNR,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BNR,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BNR,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BVAC,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BVAC,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BVAC,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BVAC,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#BVBC,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BVBC,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BVBC,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BVBC,stations,MISSING_GEOMETRY,INVESTIGATE,No coordinates available; OSM enrichment step required,,
stations#BNPT,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BNPT,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BNPT,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#JM,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#JM,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#JM,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#ABEO,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#ABEO,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#SEG,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#SEG,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#SEG,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#NGZ,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#NGZ,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#NGZ,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#PS,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#PS,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#PS,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#GAO,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#GAO,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#GAO,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#RRL,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#RRL,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#RRL,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#KHAT,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#KHAT,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#KHAT,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BRD,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BRD,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BRD,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#KOKA,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#KOKA,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#KOKA,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#DAO,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#DAO,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#DAO,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#HGR,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#HGR,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#HGR,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#BRE,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#BRE,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#BRE,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#MNJ,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#MNJ,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#MNJ,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#SYWN,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#SYWN,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#SYWN,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
stations#MRE,stations,MISSING_VALUE,INVESTIGATE,Property 'state' is null — enrichment may fill this later,None,
stations#MRE,stations,MISSING_VALUE,INVESTIGATE,Property 'zone' is null — enrichment may fill this later,None,
stations#MRE,stations,MISSING_VALUE,INVESTIGATE,Property 'address' is null — enrichment may fill this later,None,
