service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band,warning,warning_priority
2024-09-07,CSMT,22177,12137,3.0,302.0,24.0,LOW,0.6021047684196573,CRITICAL,1,CRITICAL
2024-09-04,CSMT,22105,12859,0.0,5.0,24.0,LOW,0.602005828995907,CRITICAL,1,CRITICAL
2024-09-27,CSMT,22223,12127,0.0,5.0,24.0,LOW,0.602005828995907,CRITICAL,1,CRITICAL
2024-09-05,CSMT,12289,17411,3.0,5.0,7.0,LOW,0.6019549319047185,CRITICAL,1,CRITICAL
2024-09-03,NDLS,12309,12555,0.0,149.0,4.0,LOW,0.6017247323895123,CRITICAL,1,CRITICAL
2024-09-09,CSMT,17617,22105,0.0,2.0,11.0,LOW,0.6016754874133374,CRITICAL,1,CRITICAL
2024-09-25,CSMT,11007,10103,0.0,9.0,19.0,LOW,0.6016212141338866,CRITICAL,1,CRITICAL
2024-09-01,CSMT,22224,20111,2.0,5.0,13.0,LOW,0.6015962893906519,CRITICAL,1,CRITICAL
2024-09-03,ASR,12904,18310,0.0,2.0,28.0,LOW,0.6015488749831331,CRITICAL,1,CRITICAL
2024-09-19,NDLS,12626,12474,183.0,113.0,5.0,SEVERE,0.601436517045642,CRITICAL,1,CRITICAL
2024-09-11,NDLS,12029,12616,0.0,920.0,10.0,LOW,0.6013774174102371,CRITICAL,1,CRITICAL
2024-09-29,ASR,12716,12484,0.0,3.0,27.0,LOW,0.6012780251673905,CRITICAL,1,CRITICAL
2024-09-12,ASR,12358,12460,0.0,2.0,22.0,LOW,0.6012719848045002,CRITICAL,1,CRITICAL
2024-09-06,NDLS,12398,14681,111.0,2.0,6.0,SEVERE,0.6011987996593906,CRITICAL,1,CRITICAL
2024-09-23,ASR,12904,18102,2.0,4.0,29.0,LOW,0.6011826885187048,CRITICAL,1,CRITICAL
2024-09-21,CSMT,22224,22157,0.0,2.0,4.0,LOW,0.6011759895485951,CRITICAL,1,CRITICAL
2024-09-13,ASR,12904,18310,4.0,3.0,26.0,LOW,0.6010407905170975,CRITICAL,1,CRITICAL
2024-09-07,CSMT,17617,22105,4.0,7.0,13.0,LOW,0.6009960634409418,CRITICAL,1,CRITICAL
2024-09-19,CSMT,11008,12137,29.0,15.0,6.0,HIGH,0.6009465976419199,CRITICAL,1,CRITICAL
2024-09-30,CSMT,22226,22159,0.0,14.0,23.0,LOW,0.6007862578986954,CRITICAL,1,CRITICAL
2024-09-05,CSMT,20705,11011,0.0,4.0,9.0,LOW,0.6006992177554527,CRITICAL,1,CRITICAL
2024-09-13,CSMT,11139,17057,3.0,6.0,13.0,LOW,0.6005166418962847,CRITICAL,1,CRITICAL
2024-09-01,CSMT,20705,11011,0.0,6.0,10.0,LOW,0.6005131564428152,CRITICAL,1,CRITICAL
2024-09-18,NDLS,16031,12137,85.0,74.0,19.0,SEVERE,0.6001668915200783,CRITICAL,1,CRITICAL
2024-09-27,NDLS,2563,12751,411.0,138.0,27.0,SEVERE,0.5998518408255418,HIGH,1,VERY HIGH
2024-09-05,CSMT,12137,12111,0.0,2.0,22.0,LOW,0.5997925442575502,HIGH,1,VERY HIGH
2024-09-08,CSMT,17618,12322,0.0,2.0,9.0,LOW,0.5997708988928875,HIGH,1,VERY HIGH
2024-09-01,ASR,12484,12460,9.0,5.0,16.0,MODERATE,0.5996829870948559,HIGH,1,VERY HIGH
2024-09-14,ASR,12498,22429,4.0,10.0,16.0,LOW,0.5996318436867876,HIGH,1,VERY HIGH
2024-09-15,NDLS,12752,2394,6.0,239.0,8.0,MODERATE,0.5995581585037167,HIGH,1,VERY HIGH
2024-09-23,ASR,12030,12412,0.0,6.0,21.0,LOW,0.5995195726969242,HIGH,1,VERY HIGH
2024-09-30,NDLS,14728,12203,15.0,287.0,19.0,MODERATE,0.5994291518563396,HIGH,1,VERY HIGH
2024-09-15,ASR,12029,14505,9.0,2.0,23.0,MODERATE,0.5992713496959111,HIGH,1,VERY HIGH
2024-09-08,BINA,12618,11078,500.0,91.0,16.0,SEVERE,0.5992009862442255,HIGH,1,VERY HIGH
2024-09-20,CSMT,22159,20706,6.0,2.0,21.0,MODERATE,0.5991161069742597,HIGH,1,VERY HIGH
2024-09-17,NDLS,22478,15128,5.0,153.0,3.0,LOW,0.5991029999789498,HIGH,1,VERY HIGH
2024-09-24,ASR,14674,19612,9.0,7.0,18.0,MODERATE,0.5990255613056364,HIGH,1,VERY HIGH
2024-09-22,BINA,14623,14115,4.0,3.0,14.0,LOW,0.5989986945923523,HIGH,1,VERY HIGH
2024-09-11,NDLS,12419,12958,276.0,2.0,21.0,SEVERE,0.5989773106907913,HIGH,1,VERY HIGH
2024-09-19,NDLS,12012,12920,7.0,109.0,7.0,MODERATE,0.5989544032938845,HIGH,1,VERY HIGH
2024-09-19,BINA,14623,12148,4.0,305.0,11.0,LOW,0.5989416106585758,HIGH,1,VERY HIGH
2024-09-02,CSMT,22226,22159,5.0,6.0,11.0,LOW,0.5989001998731909,HIGH,1,VERY HIGH
2024-09-18,CSMT,12128,11139,3.0,4.0,16.0,LOW,0.5988879362569441,HIGH,1,VERY HIGH
2024-09-15,NDLS,9322,12259,147.0,36.0,19.0,SEVERE,0.5988424578607592,HIGH,1,VERY HIGH
2024-09-02,BINA,11072,12722,136.0,4.0,3.0,SEVERE,0.5988286509741532,HIGH,1,VERY HIGH
2024-09-29,ASR,14506,12380,14.0,10.0,16.0,MODERATE,0.5987887849932837,HIGH,1,VERY HIGH
2024-09-29,BINA,2576,12186,336.0,3.0,7.0,SEVERE,0.5987865840114862,HIGH,1,VERY HIGH
2024-09-10,NDLS,12057,12716,0.0,129.0,19.0,LOW,0.5987264216542623,HIGH,1,VERY HIGH
2024-09-20,ASR,18238,12030,20.0,4.0,24.0,HIGH,0.5986973849803203,HIGH,1,VERY HIGH
2024-09-25,NZM,12648,12280,0.0,6.0,11.0,LOW,0.5986910925654465,HIGH,1,VERY HIGH
2024-09-05,NZM,12808,12280,0.0,6.0,11.0,LOW,0.5986910925654465,HIGH,1,VERY HIGH
2024-09-20,ASR,12030,12412,4.0,11.0,22.0,LOW,0.5986371854019199,HIGH,1,VERY HIGH
2024-09-06,ASR,12926,15708,0.0,5.0,25.0,LOW,0.5985256390207355,HIGH,1,VERY HIGH
2024-09-15,BINA,12628,11071,95.0,9.0,4.0,SEVERE,0.5985168369780712,HIGH,1,VERY HIGH
2024-09-27,CSMT,22143,12809,0.0,4.0,13.0,LOW,0.5983998459599038,HIGH,1,VERY HIGH
2024-09-07,ANVT,3576,2398,0.0,124.0,9.0,LOW,0.5982781397110207,HIGH,1,VERY HIGH
2024-09-29,ASR,14505,4652,0.0,205.0,20.0,LOW,0.5982121804135702,HIGH,1,VERY HIGH
2024-09-15,BINA,12716,12628,532.0,95.0,25.0,SEVERE,0.5981073558360479,HIGH,1,VERY HIGH
2024-09-14,NDLS,2570,12459,93.0,2.0,4.0,SEVERE,0.5979330736744556,HIGH,1,VERY HIGH
2024-09-28,BINA,22911,12192,4.0,286.0,15.0,LOW,0.5978895638140849,HIGH,1,VERY HIGH
2024-09-14,CSMT,22119,12859,0.0,3.0,13.0,LOW,0.597854140218521,HIGH,1,VERY HIGH
2024-09-03,CSMT,17411,12289,0.0,7.0,2.0,LOW,0.5978406747512631,HIGH,1,VERY HIGH
2024-09-10,ASR,12498,22429,14.0,20.0,16.0,MODERATE,0.5977593455546565,HIGH,1,VERY HIGH
2024-09-11,BINA,20481,1025,54.0,70.0,11.0,HIGH,0.5977457890747696,HIGH,1,VERY HIGH
2024-09-21,BINA,22538,12191,400.0,2.0,7.0,SEVERE,0.59765716706673,HIGH,1,VERY HIGH
2024-09-11,BINA,19314,18237,139.0,5.0,11.0,SEVERE,0.5973949299864935,HIGH,1,VERY HIGH
2024-09-10,NDLS,14681,9322,154.0,520.0,11.0,SEVERE,0.5973519507857706,HIGH,1,VERY HIGH
