service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,risk_score,risk_band,warning_priority,alert_message
2024-09-19,CSMT,11008,12137,29.0,15.0,6.0,0.6009465976419199,CRITICAL,CRITICAL,CSMT: Train 11008 may propagate delay to Train 12137 (risk 60.1%)
2024-09-30,CSMT,22226,22159,0.0,14.0,23.0,0.6007862578986954,CRITICAL,CRITICAL,CSMT: Train 22226 may propagate delay to Train 22159 (risk 60.1%)
2024-09-05,CSMT,20705,11011,0.0,4.0,9.0,0.6006992177554527,CRITICAL,CRITICAL,CSMT: Train 20705 may propagate delay to Train 11011 (risk 60.1%)
2024-09-13,CSMT,11139,17057,3.0,6.0,13.0,0.6005166418962847,CRITICAL,CRITICAL,CSMT: Train 11139 may propagate delay to Train 17057 (risk 60.1%)
2024-09-01,CSMT,20705,11011,0.0,6.0,10.0,0.6005131564428152,CRITICAL,CRITICAL,CSMT: Train 20705 may propagate delay to Train 11011 (risk 60.1%)
2024-09-18,NDLS,16031,12137,85.0,74.0,19.0,0.6001668915200783,CRITICAL,CRITICAL,NDLS: Train 16031 may propagate delay to Train 12137 (risk 60.0%)
2024-09-27,NDLS,2563,12751,411.0,138.0,27.0,0.5998518408255418,HIGH,VERY HIGH,NDLS: Train 2563 may propagate delay to Train 12751 (risk 60.0%)
2024-09-05,CSMT,12137,12111,0.0,2.0,22.0,0.5997925442575502,HIGH,VERY HIGH,CSMT: Train 12137 may propagate delay to Train 12111 (risk 60.0%)
2024-09-08,CSMT,17618,12322,0.0,2.0,9.0,0.5997708988928875,HIGH,VERY HIGH,CSMT: Train 17618 may propagate delay to Train 12322 (risk 60.0%)
2024-09-01,ASR,12484,12460,9.0,5.0,16.0,0.5996829870948559,HIGH,VERY HIGH,ASR: Train 12484 may propagate delay to Train 12460 (risk 60.0%)
2024-09-14,ASR,12498,22429,4.0,10.0,16.0,0.5996318436867876,HIGH,VERY HIGH,ASR: Train 12498 may propagate delay to Train 22429 (risk 60.0%)
2024-09-15,NDLS,12752,2394,6.0,239.0,8.0,0.5995581585037167,HIGH,VERY HIGH,NDLS: Train 12752 may propagate delay to Train 2394 (risk 60.0%)
2024-09-23,ASR,12030,12412,0.0,6.0,21.0,0.5995195726969242,HIGH,VERY HIGH,ASR: Train 12030 may propagate delay to Train 12412 (risk 60.0%)
2024-09-30,NDLS,14728,12203,15.0,287.0,19.0,0.5994291518563396,HIGH,VERY HIGH,NDLS: Train 14728 may propagate delay to Train 12203 (risk 59.9%)
2024-09-15,ASR,12029,14505,9.0,2.0,23.0,0.5992713496959111,HIGH,VERY HIGH,ASR: Train 12029 may propagate delay to Train 14505 (risk 59.9%)
2024-09-08,BINA,12618,11078,500.0,91.0,16.0,0.5992009862442255,HIGH,VERY HIGH,BINA: Train 12618 may propagate delay to Train 11078 (risk 59.9%)
2024-09-20,CSMT,22159,20706,6.0,2.0,21.0,0.5991161069742597,HIGH,VERY HIGH,CSMT: Train 22159 may propagate delay to Train 20706 (risk 59.9%)
2024-09-17,NDLS,22478,15128,5.0,153.0,3.0,0.5991029999789498,HIGH,VERY HIGH,NDLS: Train 22478 may propagate delay to Train 15128 (risk 59.9%)
2024-09-24,ASR,14674,19612,9.0,7.0,18.0,0.5990255613056364,HIGH,VERY HIGH,ASR: Train 14674 may propagate delay to Train 19612 (risk 59.9%)
2024-09-22,BINA,14623,14115,4.0,3.0,14.0,0.5989986945923523,HIGH,VERY HIGH,BINA: Train 14623 may propagate delay to Train 14115 (risk 59.9%)
2024-09-11,NDLS,12419,12958,276.0,2.0,21.0,0.5989773106907913,HIGH,VERY HIGH,NDLS: Train 12419 may propagate delay to Train 12958 (risk 59.9%)
2024-09-19,NDLS,12012,12920,7.0,109.0,7.0,0.5989544032938845,HIGH,VERY HIGH,NDLS: Train 12012 may propagate delay to Train 12920 (risk 59.9%)
2024-09-19,BINA,14623,12148,4.0,305.0,11.0,0.5989416106585758,HIGH,VERY HIGH,BINA: Train 14623 may propagate delay to Train 12148 (risk 59.9%)
2024-09-02,CSMT,22226,22159,5.0,6.0,11.0,0.5989001998731909,HIGH,VERY HIGH,CSMT: Train 22226 may propagate delay to Train 22159 (risk 59.9%)
2024-09-18,CSMT,12128,11139,3.0,4.0,16.0,0.5988879362569441,HIGH,VERY HIGH,CSMT: Train 12128 may propagate delay to Train 11139 (risk 59.9%)
2024-09-15,NDLS,9322,12259,147.0,36.0,19.0,0.5988424578607592,HIGH,VERY HIGH,NDLS: Train 9322 may propagate delay to Train 12259 (risk 59.9%)
2024-09-02,BINA,11072,12722,136.0,4.0,3.0,0.5988286509741532,HIGH,VERY HIGH,BINA: Train 11072 may propagate delay to Train 12722 (risk 59.9%)
2024-09-29,ASR,14506,12380,14.0,10.0,16.0,0.5987887849932837,HIGH,VERY HIGH,ASR: Train 14506 may propagate delay to Train 12380 (risk 59.9%)
2024-09-29,BINA,2576,12186,336.0,3.0,7.0,0.5987865840114862,HIGH,VERY HIGH,BINA: Train 2576 may propagate delay to Train 12186 (risk 59.9%)
2024-09-10,NDLS,12057,12716,0.0,129.0,19.0,0.5987264216542623,HIGH,VERY HIGH,NDLS: Train 12057 may propagate delay to Train 12716 (risk 59.9%)
2024-09-20,ASR,18238,12030,20.0,4.0,24.0,0.5986973849803203,HIGH,VERY HIGH,ASR: Train 18238 may propagate delay to Train 12030 (risk 59.9%)
2024-09-25,NZM,12648,12280,0.0,6.0,11.0,0.5986910925654465,HIGH,VERY HIGH,NZM: Train 12648 may propagate delay to Train 12280 (risk 59.9%)
2024-09-05,NZM,12808,12280,0.0,6.0,11.0,0.5986910925654465,HIGH,VERY HIGH,NZM: Train 12808 may propagate delay to Train 12280 (risk 59.9%)
2024-09-20,ASR,12030,12412,4.0,11.0,22.0,0.5986371854019199,HIGH,VERY HIGH,ASR: Train 12030 may propagate delay to Train 12412 (risk 59.9%)
2024-09-06,ASR,12926,15708,0.0,5.0,25.0,0.5985256390207355,HIGH,VERY HIGH,ASR: Train 12926 may propagate delay to Train 15708 (risk 59.9%)
2024-09-15,BINA,12628,11071,95.0,9.0,4.0,0.5985168369780712,HIGH,VERY HIGH,BINA: Train 12628 may propagate delay to Train 11071 (risk 59.9%)
2024-09-27,CSMT,22143,12809,0.0,4.0,13.0,0.5983998459599038,HIGH,VERY HIGH,CSMT: Train 22143 may propagate delay to Train 12809 (risk 59.8%)
2024-09-07,ANVT,3576,2398,0.0,124.0,9.0,0.5982781397110207,HIGH,VERY HIGH,ANVT: Train 3576 may propagate delay to Train 2398 (risk 59.8%)
2024-09-29,ASR,14505,4652,0.0,205.0,20.0,0.5982121804135702,HIGH,VERY HIGH,ASR: Train 14505 may propagate delay to Train 4652 (risk 59.8%)
2024-09-15,BINA,12716,12628,532.0,95.0,25.0,0.5981073558360479,HIGH,VERY HIGH,BINA: Train 12716 may propagate delay to Train 12628 (risk 59.8%)
2024-09-14,NDLS,2570,12459,93.0,2.0,4.0,0.5979330736744556,HIGH,VERY HIGH,NDLS: Train 2570 may propagate delay to Train 12459 (risk 59.8%)
2024-09-28,BINA,22911,12192,4.0,286.0,15.0,0.5978895638140849,HIGH,VERY HIGH,BINA: Train 22911 may propagate delay to Train 12192 (risk 59.8%)
2024-09-14,CSMT,22119,12859,0.0,3.0,13.0,0.597854140218521,HIGH,VERY HIGH,CSMT: Train 22119 may propagate delay to Train 12859 (risk 59.8%)
2024-09-03,CSMT,17411,12289,0.0,7.0,2.0,0.5978406747512631,HIGH,VERY HIGH,CSMT: Train 17411 may propagate delay to Train 12289 (risk 59.8%)
2024-09-10,ASR,12498,22429,14.0,20.0,16.0,0.5977593455546565,HIGH,VERY HIGH,ASR: Train 12498 may propagate delay to Train 22429 (risk 59.8%)
2024-09-11,BINA,20481,1025,54.0,70.0,11.0,0.5977457890747696,HIGH,VERY HIGH,BINA: Train 20481 may propagate delay to Train 1025 (risk 59.8%)
2024-09-21,BINA,22538,12191,400.0,2.0,7.0,0.59765716706673,HIGH,VERY HIGH,BINA: Train 22538 may propagate delay to Train 12191 (risk 59.8%)
2024-09-11,BINA,19314,18237,139.0,5.0,11.0,0.5973949299864935,HIGH,VERY HIGH,BINA: Train 19314 may propagate delay to Train 18237 (risk 59.7%)
2024-09-10,NDLS,14681,9322,154.0,520.0,11.0,0.5973519507857706,HIGH,VERY HIGH,NDLS: Train 14681 may propagate delay to Train 9322 (risk 59.7%)
2024-09-09,CSMT,20705,11011,0.0,2.0,7.0,0.5971905971368527,HIGH,VERY HIGH,CSMT: Train 20705 may propagate delay to Train 11011 (risk 59.7%)
2024-09-20,ASR,12498,22429,12.0,22.0,20.0,0.5971102802372564,HIGH,VERY HIGH,ASR: Train 12498 may propagate delay to Train 22429 (risk 59.7%)
2024-09-23,BINA,12192,12186,44.0,5.0,13.0,0.5971025918987958,HIGH,VERY HIGH,BINA: Train 12192 may propagate delay to Train 12186 (risk 59.7%)
2024-09-26,ANVT,22425,14089,0.0,129.0,14.0,0.5970598482590045,HIGH,VERY HIGH,ANVT: Train 22425 may propagate delay to Train 14089 (risk 59.7%)
2024-09-05,ANVT,14006,15060,0.0,247.0,21.0,0.597038453626134,HIGH,VERY HIGH,ANVT: Train 14006 may propagate delay to Train 15060 (risk 59.7%)
2024-09-02,ASR,12054,12358,2.0,70.0,13.0,0.5968886637472878,HIGH,VERY HIGH,ASR: Train 12054 may propagate delay to Train 12358 (risk 59.7%)
2024-09-10,BINA,12808,14115,184.0,6.0,2.0,0.5968526118770957,HIGH,VERY HIGH,BINA: Train 12808 may propagate delay to Train 14115 (risk 59.7%)
2024-09-14,BINA,12410,14116,137.0,7.0,22.0,0.5968058376591886,HIGH,VERY HIGH,BINA: Train 12410 may propagate delay to Train 14116 (risk 59.7%)
2024-09-20,NDLS,12030,12626,14.0,176.0,2.0,0.5967356626761808,HIGH,VERY HIGH,NDLS: Train 12030 may propagate delay to Train 12626 (risk 59.7%)
2024-09-12,NZM,12148,12652,0.0,3.0,12.0,0.59668881601194,HIGH,VERY HIGH,NZM: Train 12148 may propagate delay to Train 12652 (risk 59.7%)
2024-09-16,BINA,19166,12803,28.0,10.0,2.0,0.5966399793225163,HIGH,VERY HIGH,BINA: Train 19166 may propagate delay to Train 12803 (risk 59.7%)
2024-09-13,NDLS,22812,12716,0.0,258.0,3.0,0.5966058917400049,HIGH,VERY HIGH,NDLS: Train 22812 may propagate delay to Train 12716 (risk 59.7%)
2024-09-10,ANVT,12558,5220,0.0,404.0,8.0,0.5964178834149442,HIGH,VERY HIGH,ANVT: Train 12558 may propagate delay to Train 5220 (risk 59.6%)
2024-09-18,BINA,12628,12722,580.0,438.0,18.0,0.5964142707489017,HIGH,VERY HIGH,BINA: Train 12628 may propagate delay to Train 12722 (risk 59.6%)
2024-09-11,NZM,12447,9321,149.0,313.0,7.0,0.596412887565732,HIGH,VERY HIGH,NZM: Train 12447 may propagate delay to Train 9321 (risk 59.6%)
2024-09-12,ANVT,15060,5220,0.0,380.0,5.0,0.5963967337352225,HIGH,VERY HIGH,ANVT: Train 15060 may propagate delay to Train 5220 (risk 59.6%)
2024-09-17,ASR,18310,18238,14.0,211.0,5.0,0.5962520632691366,HIGH,VERY HIGH,ASR: Train 18310 may propagate delay to Train 18238 (risk 59.6%)
2024-09-01,BINA,12715,12647,59.0,5.0,6.0,0.5961276974157091,HIGH,VERY HIGH,BINA: Train 12715 may propagate delay to Train 12647 (risk 59.6%)
2024-09-01,CSMT,17617,11057,5.0,8.0,3.0,0.5960214502644482,HIGH,VERY HIGH,CSMT: Train 17617 may propagate delay to Train 11057 (risk 59.6%)
2024-09-10,CSMT,11139,17057,0.0,3.0,12.0,0.5959810565569286,HIGH,VERY HIGH,CSMT: Train 11139 may propagate delay to Train 17057 (risk 59.6%)
2024-09-17,ANVT,12558,12584,0.0,42.0,12.0,0.5959365889151994,HIGH,VERY HIGH,ANVT: Train 12558 may propagate delay to Train 12584 (risk 59.6%)
2024-09-20,NDLS,20848,15128,304.0,267.0,8.0,0.5959295153376306,HIGH,VERY HIGH,NDLS: Train 20848 may propagate delay to Train 15128 (risk 59.6%)
2024-09-10,CSMT,20111,12133,263.0,351.0,22.0,0.595917697995813,HIGH,VERY HIGH,CSMT: Train 20111 may propagate delay to Train 12133 (risk 59.6%)
2024-09-04,ASR,12030,12412,0.0,10.0,25.0,0.5957734194023261,HIGH,VERY HIGH,ASR: Train 12030 may propagate delay to Train 12412 (risk 59.6%)
2024-09-27,CSMT,22221,22225,0.0,2.0,6.0,0.5956855081350261,HIGH,VERY HIGH,CSMT: Train 22221 may propagate delay to Train 22225 (risk 59.6%)
2024-09-30,NDLS,12476,2570,17.0,576.0,9.0,0.5956825510137941,HIGH,VERY HIGH,NDLS: Train 12476 may propagate delay to Train 2570 (risk 59.6%)
2024-09-20,BINA,12715,12156,31.0,83.0,12.0,0.59554528115559,HIGH,VERY HIGH,BINA: Train 12715 may propagate delay to Train 12156 (risk 59.6%)
2024-09-23,BINA,22533,22161,50.0,4.0,4.0,0.5955316814095909,HIGH,VERY HIGH,BINA: Train 22533 may propagate delay to Train 22161 (risk 59.6%)
2024-09-22,NDLS,12416,12920,0.0,100.0,5.0,0.5955065404191225,HIGH,VERY HIGH,NDLS: Train 12416 may propagate delay to Train 12920 (risk 59.6%)
2024-09-15,NDLS,14212,12616,5.0,101.0,6.0,0.5954996872925267,HIGH,VERY HIGH,NDLS: Train 14212 may propagate delay to Train 12616 (risk 59.5%)
2024-09-27,CSMT,22229,17617,3.0,14.0,16.0,0.5954665771680471,HIGH,VERY HIGH,CSMT: Train 22229 may propagate delay to Train 17617 (risk 59.5%)
2024-09-03,NDLS,12055,2394,0.0,134.0,14.0,0.5954313572554797,HIGH,VERY HIGH,NDLS: Train 12055 may propagate delay to Train 2394 (risk 59.5%)
2024-09-08,CSMT,20705,11011,0.0,7.0,12.0,0.595392725173626,HIGH,VERY HIGH,CSMT: Train 20705 may propagate delay to Train 11011 (risk 59.5%)
2024-09-20,ANVT,12558,5220,0.0,415.0,20.0,0.5953776061144773,HIGH,VERY HIGH,ANVT: Train 12558 may propagate delay to Train 5220 (risk 59.5%)
2024-09-10,CSMT,12123,12261,0.0,9.0,14.0,0.5953609305745025,HIGH,VERY HIGH,CSMT: Train 12123 may propagate delay to Train 12261 (risk 59.5%)
2024-09-02,NDLS,2569,11841,280.0,18.0,23.0,0.5953364940713977,HIGH,VERY HIGH,NDLS: Train 2569 may propagate delay to Train 11841 (risk 59.5%)
2024-09-28,ANVT,14006,13430,0.0,58.0,8.0,0.5953178335743952,HIGH,VERY HIGH,ANVT: Train 14006 may propagate delay to Train 13430 (risk 59.5%)
2024-09-18,ANVT,12428,12212,0.0,79.0,8.0,0.5953178335743952,HIGH,VERY HIGH,ANVT: Train 12428 may propagate delay to Train 12212 (risk 59.5%)
2024-09-21,NDLS,14212,14681,6.0,186.0,5.0,0.5952684818466403,HIGH,VERY HIGH,NDLS: Train 14212 may propagate delay to Train 14681 (risk 59.5%)
2024-09-16,NDLS,12420,12394,299.0,3.0,14.0,0.5952664133910001,HIGH,VERY HIGH,NDLS: Train 12420 may propagate delay to Train 12394 (risk 59.5%)
2024-09-20,NDLS,12626,12440,176.0,9.0,3.0,0.5951732045404929,HIGH,VERY HIGH,NDLS: Train 12626 may propagate delay to Train 12440 (risk 59.5%)
2024-09-04,ANVT,12368,2398,157.0,463.0,11.0,0.594821618506909,HIGH,VERY HIGH,ANVT: Train 12368 may propagate delay to Train 2398 (risk 59.5%)
2024-09-29,NDLS,12582,11058,0.0,148.0,2.0,0.5947263289351087,HIGH,VERY HIGH,NDLS: Train 12582 may propagate delay to Train 11058 (risk 59.5%)
2024-09-29,NZM,12050,12650,0.0,2.0,12.0,0.594705508715753,HIGH,VERY HIGH,NZM: Train 12050 may propagate delay to Train 12650 (risk 59.5%)
2024-09-09,BINA,9064,12722,198.0,11.0,18.0,0.5946136555200296,HIGH,VERY HIGH,BINA: Train 9064 may propagate delay to Train 12722 (risk 59.5%)
2024-09-23,CSMT,22106,12322,2.0,2.0,15.0,0.5945155854649239,HIGH,VERY HIGH,CSMT: Train 22106 may propagate delay to Train 12322 (risk 59.5%)
2024-09-19,NDLS,22415,2570,0.0,119.0,9.0,0.5944207300776658,HIGH,VERY HIGH,NDLS: Train 22415 may propagate delay to Train 2570 (risk 59.4%)
2024-09-16,CSMT,17411,12137,0.0,47.0,2.0,0.5943459645508828,HIGH,VERY HIGH,CSMT: Train 17411 may propagate delay to Train 12137 (risk 59.4%)
2024-09-24,ANVT,12368,5220,125.0,456.0,16.0,0.5942530624309518,HIGH,VERY HIGH,ANVT: Train 12368 may propagate delay to Train 5220 (risk 59.4%)
2024-09-10,ASR,14653,15708,0.0,19.0,19.0,0.594241501684436,HIGH,VERY HIGH,ASR: Train 14653 may propagate delay to Train 15708 (risk 59.4%)
2024-09-17,NDLS,12559,12925,131.0,9.0,8.0,0.5942261671578808,HIGH,VERY HIGH,NDLS: Train 12559 may propagate delay to Train 12925 (risk 59.4%)
2024-09-20,BINA,12803,12920,4.0,208.0,9.0,0.5939133171068788,HIGH,VERY HIGH,BINA: Train 12803 may propagate delay to Train 12920 (risk 59.4%)
2024-09-04,CSMT,22224,20111,13.0,6.0,3.0,0.5938382729049995,HIGH,VERY HIGH,CSMT: Train 22224 may propagate delay to Train 20111 (risk 59.4%)
2024-09-28,ASR,19225,19226,50.0,4.0,24.0,0.5938067720072575,HIGH,VERY HIGH,ASR: Train 19225 may propagate delay to Train 19226 (risk 59.4%)
2024-09-24,CSMT,20705,11011,0.0,13.0,18.0,0.5937539060884947,HIGH,VERY HIGH,CSMT: Train 20705 may propagate delay to Train 11011 (risk 59.4%)
2024-09-26,NDLS,12398,11078,7.0,105.0,3.0,0.5936710452727839,HIGH,VERY HIGH,NDLS: Train 12398 may propagate delay to Train 11078 (risk 59.4%)
2024-09-25,ASR,14506,14650,16.0,30.0,14.0,0.593610305080855,HIGH,VERY HIGH,ASR: Train 14506 may propagate delay to Train 14650 (risk 59.4%)
2024-09-19,ANVT,5284,2398,325.0,258.0,13.0,0.5935427943304439,HIGH,VERY HIGH,ANVT: Train 5284 may propagate delay to Train 2398 (risk 59.4%)
2024-09-15,NZM,16031,11077,112.0,85.0,6.0,0.5935262314181009,HIGH,VERY HIGH,NZM: Train 16031 may propagate delay to Train 11077 (risk 59.4%)
2024-09-24,ANVT,12584,15060,0.0,5.0,15.0,0.5934441703308079,HIGH,VERY HIGH,ANVT: Train 12584 may propagate delay to Train 15060 (risk 59.3%)
2024-09-24,ANVT,12820,12488,0.0,5.0,15.0,0.5934441703308079,HIGH,VERY HIGH,ANVT: Train 12820 may propagate delay to Train 12488 (risk 59.3%)
2024-09-05,CSMT,16339,22107,0.0,4.0,28.0,0.5934136712768332,HIGH,VERY HIGH,CSMT: Train 16339 may propagate delay to Train 22107 (risk 59.3%)
